date,open,high,low,close,volume,market_cap
2017-07-05,0.003367,0.003858,0.003257,0.003796,2090620,45145100
2017-07-04,0.003323,0.003516,0.003264,0.003421,1103310,44555500
2017-07-03,0.002938,0.003526,0.002868,0.003381,1932330,39390400
2017-07-02,0.002792,0.002931,0.002668,0.002924,619352,37444600
2017-07-01,0.002796,0.002986,0.002721,0.002816,812102,37492200
2017-06-30,0.002963,0.002998,0.002790,0.002797,633698,39728700
2017-06-29,0.003012,0.003099,0.002831,0.002957,684886,40390700
2017-06-28,0.002906,0.003196,0.002797,0.003040,820351,38963400
2017-06-27,0.003045,0.003152,0.002408,0.002912,999769,40828000
2017-06-26,0.003274,0.003414,0.002447,0.003045,1461240,43907700
2017-06-25,0.003412,0.003564,0.003207,0.003301,1132360,45747400
2017-06-24,0.003955,0.004009,0.003251,0.003394,1693570,53032200
2017-06-23,0.003023,0.004215,0.002900,0.003928,3734860,40533700
2017-06-22,0.002974,0.003097,0.002899,0.003023,852256,39873600
2017-06-21,0.003125,0.003223,0.002902,0.002924,1116030,41899500
2017-06-20,0.003100,0.003472,0.003049,0.003149,1806690,41563300
2017-06-19,0.003448,0.003721,0.003098,0.003124,2773170,46231600
2017-06-18,0.003698,0.003846,0.003423,0.003448,1196600,49585700
2017-06-17,0.003872,0.003947,0.003673,0.003723,1508930,51920800
2017-06-16,0.003427,0.003996,0.003244,0.003822,2259480,45956400
2017-06-15,0.003489,0.003539,0.002598,0.003382,2239750,46790300
2017-06-14,0.004603,0.004603,0.003267,0.003465,3673820,61725700
2017-06-13,0.003196,0.004580,0.002999,0.004579,5535710,42861400
2017-06-12,0.003866,0.003871,0.002896,0.003233,2788730,51844100
2017-06-11,0.003875,0.004252,0.002884,0.003871,4775940,51962600
2017-06-10,0.005116,0.005227,0.003717,0.003820,4407810,68601300
2017-06-09,0.004849,0.005479,0.004740,0.005080,3794400,65027900
2017-06-08,0.005192,0.005307,0.004495,0.004828,4854810,69624400
2017-06-07,0.006506,0.006506,0.004839,0.005113,6484760,87246900
2017-06-06,0.005394,0.006486,0.004405,0.006476,12489700,72326800
2017-06-05,0.004505,0.006295,0.004346,0.005538,16845600,60411500
2017-06-04,0.002839,0.004730,0.002456,0.004455,12418000,38073400
2017-06-03,0.001584,0.003237,0.001531,0.002797,5156840,21237400
2017-06-02,0.001152,0.001803,0.001085,0.001609,3449880,15448400
2017-06-01,0.000868,0.001238,0.000811,0.001175,1061320,11641300
2017-05-31,0.000745,0.000870,0.000730,0.000867,438933,9987350
2017-05-30,0.000889,0.000949,0.000742,0.000742,548715,11915200
2017-05-29,0.000933,0.000939,0.000837,0.000888,437332,12511000
2017-05-28,0.000839,0.001066,0.000796,0.000935,592817,11254600
2017-05-27,0.001051,0.001105,0.000639,0.000834,902966,14098300
2017-05-26,0.001121,0.001369,0.000973,0.001026,1045830,15037100
2017-05-25,0.001460,0.001620,0.001136,0.001153,2124070,19583200
2017-05-24,0.001175,0.001688,0.001075,0.001536,3132970,15758400
2017-05-23,0.000948,0.001285,0.000802,0.001219,2262820,12712600
2017-05-22,0.000957,0.001470,0.000734,0.000907,5242510,12837800
2017-05-21,0.000368,0.000974,0.000326,0.000974,2587680,4936910
2017-05-20,0.000392,0.000418,0.000336,0.000368,491970,5257290
2017-05-19,0.000245,0.000485,0.000245,0.000373,1446320,3287510
2017-05-18,0.000163,0.000302,0.000145,0.000245,545512,2181100
2017-05-17,0.000139,0.000170,0.000120,0.000163,68910,1865150
2017-05-16,0.000140,0.000154,0.000121,0.000139,30949,1871060
2017-05-15,0.000161,0.000282,0.000132,0.000140,23049,2156810
2017-05-14,0.000125,0.000163,0.000125,0.000161,17914,1673540
2017-05-13,0.000136,0.000171,0.000120,0.000124,33434,1823470
2017-05-12,0.000146,0.000198,0.000135,0.000136,91463,1963620
2017-05-11,0.000106,0.000190,0.000105,0.000146,106379,1416870
2017-05-10,0.000088,0.000124,0.000071,0.000123,56012,1179190
2017-05-09,0.000102,0.000105,0.000071,0.000088,13946,1372810
2017-05-08,0.000080,0.000102,0.000065,0.000087,14375,1071100
2017-05-07,0.000080,0.000095,0.000064,0.000080,16508,1068780
2017-05-06,0.000078,0.000094,0.000077,0.000080,10393,1043520
2017-05-05,0.000077,0.000094,0.000062,0.000078,29354,1029780
2017-05-04,0.000075,0.000090,0.000060,0.000077,27851,1010160
2017-05-03,0.000087,0.000090,0.000061,0.000075,13225,1171800
2017-05-02,0.000072,0.000088,0.000059,0.000075,12046,959990
2017-05-01,0.000081,0.000097,0.000068,0.000072,9894,1086550
2017-04-30,0.000079,0.000094,0.000066,0.000081,16459,1063510
2017-04-29,0.000092,0.000093,0.000079,0.000079,11141,1228670
2017-04-28,0.000079,0.000093,0.000078,0.000079,5968,1062070
2017-04-27,0.000089,0.000102,0.000078,0.000079,10695,1199870
2017-04-26,0.000089,0.000104,0.000076,0.000077,8116,1190790
2017-04-25,0.000099,0.000102,0.000076,0.000089,16737,1328240
2017-04-24,0.000097,0.000110,0.000085,0.000088,14162,1297280
2017-04-23,0.000086,0.000109,0.000085,0.000097,22293,1156360
2017-04-22,0.000074,0.000099,0.000073,0.000086,27041,986348
2017-04-21,0.000087,0.000099,0.000073,0.000073,22923,1172260
2017-04-20,0.000109,0.000113,0.000087,0.000099,36772,1459020
2017-04-19,0.000097,0.000121,0.000073,0.000109,53864,1305800
2017-04-18,0.000108,0.000121,0.000086,0.000097,45348,1444560
2017-04-17,0.000130,0.000141,0.000108,0.000108,93560,1739180
2017-04-16,0.000115,0.000176,0.000104,0.000130,190486,1547430
2017-04-15,0.000081,0.000106,0.000070,0.000105,64472,1087450
2017-04-14,0.000047,0.000082,0.000047,0.000081,38835,627748
2017-04-13,0.000060,0.000060,0.000046,0.000047,4002,803962
2017-04-12,0.000060,0.000072,0.000048,0.000060,8396,769853
2017-04-11,0.000047,0.000072,0.000047,0.000060,12849,607681
2017-04-10,0.000047,0.000059,0.000035,0.000047,4472,607283
2017-04-09,0.000047,0.000048,0.000035,0.000047,4320,600216
2017-04-08,0.000047,0.000059,0.000046,0.000047,1570,601052
2017-04-07,0.000059,0.000059,0.000047,0.000047,2566,752932
2017-04-06,0.000045,0.000059,0.000034,0.000059,5709,575903
2017-04-05,0.000045,0.000057,0.000034,0.000045,3508,579499
2017-04-04,0.000046,0.000058,0.000034,0.000045,5269,587608
2017-04-03,0.000044,0.000057,0.000034,0.000046,9091,565676
2017-04-02,0.000054,0.000054,0.000032,0.000044,3778,684551
2017-04-01,0.000043,0.000054,0.000032,0.000054,2805,547029
2017-03-31,0.000041,0.000053,0.000031,0.000043,8038,524939
2017-03-30,0.000050,0.000052,0.000031,0.000041,13082,639471
2017-03-29,0.000031,0.000059,0.000030,0.000050,33895,401401
2017-03-28,0.000031,0.000042,0.000021,0.000031,10556,396147
2017-03-27,0.000029,0.000031,0.000020,0.000031,1982,369645
2017-03-26,0.000029,0.000030,0.000019,0.000029,1524,372867
2017-03-25,0.000019,0.000029,0.000018,0.000029,3310,240132
2017-03-24,0.000031,0.000031,0.000019,0.000019,1567,393481
2017-03-23,0.000031,0.000032,0.000021,0.000031,2517,399839
2017-03-22,0.000012,0.000031,0.000011,0.000031,2983,148096
2017-03-21,0.000021,0.000022,0.000011,0.000012,824,270034
2017-03-20,0.000021,0.000021,0.000011,0.000021,748,265266
2017-03-19,0.000025,0.000025,0.000012,0.000021,839,317083
2017-03-18,0.000022,0.000025,0.000010,0.000025,697,280114
2017-03-17,0.000027,0.000035,0.000012,0.000022,449,342644
2017-03-16,0.000028,0.000036,0.000019,0.000027,126,363351
2017-03-15,0.000025,0.000042,0.000025,0.000028,528,314699
2017-03-14,0.000024,0.000037,0.000024,0.000025,1111,311118
2017-03-13,0.000031,0.000033,0.000012,0.000024,683,390260
2017-03-12,0.000024,0.000031,0.000012,0.000030,297,301061
2017-03-11,0.000015,0.000026,0.000013,0.000024,59,190322
2017-03-10,0.000024,0.000035,0.000013,0.000015,631,304321
2017-03-09,0.000013,0.000035,0.000012,0.000024,85,161766
2017-03-08,0.000024,0.000035,0.000012,0.000013,37,312987
2017-03-07,0.000025,0.000026,0.000013,0.000024,192,325815
2017-03-06,0.000025,0.000038,0.000013,0.000025,155,324450
2017-03-05,0.000013,0.000037,0.000013,0.000025,432,167029
2017-03-04,0.000026,0.000037,0.000013,0.000013,332,329446
2017-03-03,0.000013,0.000037,0.000013,0.000026,869,162686
2017-03-02,0.000025,0.000025,0.000012,0.000013,935,314109
2017-03-01,0.000012,0.000036,0.000012,0.000025,873,153386
2017-02-28,0.000024,0.000024,0.000012,0.000012,425,302110
2017-02-27,0.000023,0.000037,0.000023,0.000024,189,297776
2017-02-26,0.000024,0.000026,0.000023,0.000023,370,304681
2017-02-25,0.000024,0.000024,0.000022,0.000024,589,300684
2017-02-24,0.000025,0.000036,0.000023,0.000024,456,314010
2017-02-23,0.000022,0.000025,0.000022,0.000024,58,285875
2017-02-22,0.000022,0.000032,0.000022,0.000022,280,285243
2017-02-21,0.000022,0.000033,0.000022,0.000022,367,285522
2017-02-20,0.000022,0.000027,0.000021,0.000022,63,283732
2017-02-19,0.000022,0.000023,0.000021,0.000022,321,277790
2017-02-18,0.000025,0.000025,0.000021,0.000022,883,316835
2017-02-17,0.000022,0.000031,0.000022,0.000025,75,279888
2017-02-16,0.000021,0.000031,0.000021,0.000022,136,265558
2017-02-15,0.000022,0.000029,0.000020,0.000021,61,284412
2017-02-14,0.000020,0.000030,0.000020,0.000022,84,253755
2017-02-13,0.000020,0.000030,0.000020,0.000020,4367,256981
2017-02-12,0.000022,0.000031,0.000020,0.000020,398,279595
2017-02-11,0.000029,0.000031,0.000020,0.000022,531,376265
2017-02-10,0.000020,0.000029,0.000019,0.000029,280,254751
2017-02-09,0.000021,0.000032,0.000019,0.000020,320,272721
2017-02-08,0.000022,0.000042,0.000021,0.000021,386,282840
2017-02-07,0.000021,0.000038,0.000021,0.000022,1384,266140
2017-02-06,0.000021,0.000031,0.000021,0.000021,424,263136
2017-02-05,0.000021,0.000028,0.000020,0.000021,102,269269
2017-02-04,0.000031,0.000034,0.000020,0.000021,55,391254
2017-02-03,0.000030,0.000041,0.000020,0.000031,1334,386786
2017-02-02,0.000020,0.000040,0.000020,0.000030,2360,253565
2017-02-01,0.000029,0.000029,0.000020,0.000020,989,371810
2017-01-31,0.000027,0.000029,0.000019,0.000029,1517,348133
2017-01-30,0.000019,0.000028,0.000018,0.000027,1241,244890
2017-01-29,0.000019,0.000028,0.000019,0.000019,304,246765
2017-01-28,0.000019,0.000034,0.000018,0.000019,2371,248536
2017-01-27,0.000027,0.000027,0.000018,0.000019,229,347166
2017-01-26,0.000018,0.000027,0.000018,0.000027,685,230781
2017-01-25,0.000025,0.000027,0.000018,0.000018,917,318694
2017-01-24,0.000028,0.000037,0.000025,0.000025,1143,353288
2017-01-23,0.000019,0.000037,0.000018,0.000028,5085,236895
2017-01-22,0.000018,0.000028,0.000009,0.000018,809,235932
2017-01-21,0.000018,0.000021,0.000009,0.000018,500,233596
2017-01-20,0.000018,0.000027,0.000011,0.000018,86,234674
2017-01-19,0.000018,0.000027,0.000009,0.000018,3820,227502
2017-01-18,0.000019,0.000026,0.000017,0.000018,70,245082
2017-01-17,0.000017,0.000027,0.000017,0.000019,212,213005
2017-01-16,0.000017,0.000025,0.000017,0.000017,349,212125
2017-01-15,0.000016,0.000024,0.000016,0.000017,217,209406
2017-01-14,0.000016,0.000024,0.000016,0.000016,119,210832
2017-01-13,0.000016,0.000017,0.000016,0.000016,42,205933
2017-01-12,0.000016,0.000024,0.000015,0.000016,82,199004
2017-01-11,0.000018,0.000024,0.000016,0.000016,583,232247
2017-01-10,0.000018,0.000018,0.000018,0.000018,83,231006
2017-01-09,0.000018,0.000027,0.000018,0.000018,385,233148
2017-01-08,0.000018,0.000024,0.000018,0.000018,60,233909
2017-01-07,0.000022,0.000027,0.000017,0.000018,1361,285384